2020-08-12 09:14:42.525 [http-nio-8001-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 9 ms
2020-08-12 09:14:42.541 [http-nio-8001-exec-1] INFO  c.k.s.config.RestPathMatchingFilterChainResolver - *****************/
2020-08-12 09:14:42.721 [http-nio-8001-exec-2] INFO  c.k.s.config.RestPathMatchingFilterChainResolver - *****************/images/bg.jpg
2020-08-12 09:14:50.667 [http-nio-8001-exec-3] INFO  c.k.s.config.RestPathMatchingFilterChainResolver - *****************/account/login
2020-08-12 09:23:50.412 [http-nio-8001-exec-5] INFO  c.k.s.config.RestPathMatchingFilterChainResolver - *****************/
2020-08-12 09:23:50.457 [http-nio-8001-exec-6] INFO  c.k.s.config.RestPathMatchingFilterChainResolver - *****************/js/jquery.min.js
2020-08-12 09:23:50.463 [http-nio-8001-exec-7] INFO  c.k.s.config.RestPathMatchingFilterChainResolver - *****************/js/bootstrap-3.3.7-dist/js/bootoast.js
2020-08-12 09:23:50.862 [http-nio-8001-exec-8] INFO  c.k.s.config.RestPathMatchingFilterChainResolver - *****************/js/jquery.min.js
2020-08-12 09:23:50.869 [http-nio-8001-exec-9] INFO  c.k.s.config.RestPathMatchingFilterChainResolver - *****************/js/bootstrap-3.3.7-dist/js/bootoast.js
2020-08-12 09:23:50.918 [http-nio-8001-exec-10] INFO  c.k.s.config.RestPathMatchingFilterChainResolver - *****************/images/bg.jpg
2020-08-12 09:24:03.830 [http-nio-8001-exec-1] INFO  c.k.s.config.RestPathMatchingFilterChainResolver - *****************/
2020-08-12 09:24:03.858 [http-nio-8001-exec-2] INFO  c.k.s.config.RestPathMatchingFilterChainResolver - *****************/js/jquery.min.js
2020-08-12 09:24:03.860 [http-nio-8001-exec-3] INFO  c.k.s.config.RestPathMatchingFilterChainResolver - *****************/js/bootstrap-3.3.7-dist/js/bootoast.js
2020-08-12 09:24:03.921 [http-nio-8001-exec-4] INFO  c.k.s.config.RestPathMatchingFilterChainResolver - *****************/images/bg.jpg
2020-08-12 09:28:24.898 [http-nio-8001-exec-6] INFO  c.k.s.config.RestPathMatchingFilterChainResolver - *****************/
2020-08-12 09:28:24.927 [http-nio-8001-exec-8] INFO  c.k.s.config.RestPathMatchingFilterChainResolver - *****************/js/jquery.min.js
2020-08-12 09:28:24.928 [http-nio-8001-exec-9] INFO  c.k.s.config.RestPathMatchingFilterChainResolver - *****************/js/bootstrap-3.3.7-dist/js/bootoast.js
2020-08-12 09:28:24.978 [http-nio-8001-exec-10] INFO  c.k.s.config.RestPathMatchingFilterChainResolver - *****************/images/bg.jpg
2020-08-12 09:28:25.021 [http-nio-8001-exec-1] INFO  c.k.s.config.RestPathMatchingFilterChainResolver - *****************/favicon.ico
2020-08-12 09:28:40.994 [RMI TCP Connection(21)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2020-08-12 09:28:40.996 [RMI TCP Connection(21)-127.0.0.1] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
2020-08-12 09:28:40.997 [RMI TCP Connection(21)-127.0.0.1] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-08-12 09:28:40.997 [RMI TCP Connection(21)-127.0.0.1] INFO  o.s.scheduling.quartz.SchedulerFactoryBean - Shutting down Quartz Scheduler
2020-08-12 09:28:40.997 [RMI TCP Connection(21)-127.0.0.1] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED shutting down.
2020-08-12 09:28:40.997 [RMI TCP Connection(21)-127.0.0.1] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
2020-08-12 09:28:40.998 [RMI TCP Connection(21)-127.0.0.1] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED shutdown complete.
2020-08-12 09:28:40.999 [RMI TCP Connection(21)-127.0.0.1] INFO  c.k.common.async.VisiableThreadPoolTaskExecutor - Shutting down ExecutorService 'asyncServiceExecutor'
2020-08-12 09:28:41.011 [RMI TCP Connection(21)-127.0.0.1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-08-12 09:28:41.013 [RMI TCP Connection(21)-127.0.0.1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-08-12 09:28:53.593 [restartedMain] INFO  com.kiwihouse.Application - Starting Application on DESKTOP-BAKFO4U with PID 21920 (started by cmx in F:\xx\项目\serverv2\serverv2)
